Year	Location	State	Entry	Grainyield	Testweight	Plantheight
2004	Rangpur	MN	SD3687	97.7	57	99
2004	Rangpur	MN	MN99436-6	90.8	57.8	85
2004	Rangpur	MN	MN01197	90.6	55.3	91
2004	Rangpur	MN	2375	90.3	57.7	94
2004	Rangpur	MN	MN01311-A	90.1	58.6	93
2004	Rangpur	MN	SD3635	88.6	59.2	101
2004	Rangpur	MN	98S0127-06	88.2	56.1	85
2004	Rangpur	MN	SD3618	88.1	58	96
2004	Rangpur	MN	BW828	88.1	60	89
2004	Rangpur	MN	ND747	87.9	62.4	99
2004	Rangpur	MN	97S0254-8-1	87.4	56	87
2004	Rangpur	MN	MN00261-4	87.1	59.7	93
2004	Rangpur	MN	MN01333-A	86.9	58	88
2004	Rangpur	MN	96S0404-03	86.5	56.4	83
2004	Rangpur	MN	Verde	86.4	54.5	94
2004	Rangpur	MN	98S0051-1	85.8	58.3	93
2004	Rangpur	MN	CA-902-701	84.1	60.4	92
2004	Rangpur	MN	N99-0241	83	55.1	89
2004	Rangpur	MN	SD3747	82	54.1	90
2004	Rangpur	MN	SD3746	80.9	54.2	93
2004	Rangpur	MN	ND800	78.8	59	94
2004	Rangpur	MN	SD3668	78.7	58.5	95
2004	Rangpur	MN	NDSW0217	77.9	56	102
2004	Rangpur	MN	Keene	75.5	56.1	110
2004	Rangpur	MN	NDSW0347	74.7	55.3	89
2004	Rangpur	MN	ND741	74.6	57.5	94
2004	Rangpur	MN	CA-901-580W	74.6	58.1	99
2004	Rangpur	MN	BW341	73.5	58.9	96
2004	Rangpur	MN	ND751	73.1	59.1	96
2004	Rangpur	MN	BW346	72.9	57.3	97
2004	Rangpur	MN	Marquis	71.4	57	110
2004	Rangpur	MN	ND801	71	59.2	94
2004	Rangpur	MN	WA007931	70.7	52	100
2004	Rangpur	MN	WA007925	69.2	55.1	98
2004	Rangpur	MN	NDSW0345	67.4	55.9	114
2004	Rangpur	MN	BZ998-447W	65.1	48	94
2004	Rangpur	MN	ES63	63.7	52.8	98
2004	Rangpur	MN	Chris	61.5	57.4	107
2004	Rangpur	MN	MT0245	55.7	52.2	89
2004	Rangpur	MN	MT0249	49.9	48.3	84
2004	Rajshahi	MN	98S0127-06	92.6	60.3	90
2004	Rajshahi	MN	Verde	92.1	59.5	91
2004	Rajshahi	MN	97S0254-8-1	87.6	59.8	92
2004	Rajshahi	MN	SD3687	86.3	58	101
2004	Rajshahi	MN	SD3747	86.2	56.6	95
2004	Rajshahi	MN	SD3618	85.8	60.8	106
2004	Rajshahi	MN	MN01197	84.8	58	93
2004	Rajshahi	MN	2375	84.5	60.3	97
2004	Rajshahi	MN	98S0051-1	84	60.2	94
2004	Rajshahi	MN	CA-901-580W	82.6	60.3	108
2004	Rajshahi	MN	96S0404-03	81.7	59.7	85
2004	Rajshahi	MN	ND747	79.9	63.4	98
2004	Rajshahi	MN	ND801	78	62.2	101
2004	Rajshahi	MN	CA-902-701	77.2	62.4	91
2004	Rajshahi	MN	SD3635	76	59.6	105
2004	Rajshahi	MN	MN01311-A	75.4	60.2	97
2004	Rajshahi	MN	MN01333-A	73.1	60.6	88
2004	Rajshahi	MN	ND800	72.5	60.6	102
2004	Rajshahi	MN	SD3668	72.5	60.7	102
2004	Rajshahi	MN	SD3746	72.5	56	103
2004	Rajshahi	MN	Granite	71.3	60.9	90
2004	Rajshahi	MN	MN00261-4	71.2	60.2	93
2004	Rajshahi	MN	NDSW0347	70.6	60	94
2004	Rajshahi	MN	BZ998-447W	70.2	53.8	102
2004	Rajshahi	MN	ND741	69.9	61.3	100
2004	Rajshahi	MN	MN99436-6	69.4	58.8	91
2004	Rajshahi	MN	ND751	67.8	62	103
2004	Rajshahi	MN	Keene	65.6	58.8	110
2004	Rajshahi	MN	BW341	64.6	60.7	106
2004	Rajshahi	MN	NDSW0345	64	58.4	116
2004	Rajshahi	MN	N99-0241	60.4	58	93
2004	Rajshahi	MN	NDSW0217	57.8	55.6	101
2004	Rajshahi	MN	MT0245	54.8	55.7	94
2004	Rajshahi	MN	Marquis	52.4	56.3	118
2004	Rajshahi	MN	WA007925	51.6	56.9	98
2004	Rajshahi	MN	ES63	51.5	55.3	102
2004	Rajshahi	MN	BW346	51	57.6	107
2004	Rajshahi	MN	WA007931	49.6	54.9	101
2004	Rajshahi	MN	MT0249	42.2	52.5	86
2004	Rajshahi	MN	Chris	37.4	57	115
