Year	Location	State	Entry	Grainyield	Testweight	Plantheight
2006	Winnipeg	CAN	2375	90.3	62.5	91
2006	Winnipeg	CAN	SD3868	89.3	60.8	97
2006	Winnipeg	CAN	MN03358-4	88.8	62.4	88
2006	Winnipeg	CAN	ND04/3-19	86.9	61.8	87
2006	Winnipeg	CAN	Verde	86.3	61.6	82
2006	Winnipeg	CAN	BW864	85	63.6	90
2006	Winnipeg	CAN	ND04/3-20	84.8	62.2	97
2006	Winnipeg	CAN	SD3943	84.6	62.2	93
2006	Winnipeg	CAN	SD4001	84.4	63.1	95
2006	Winnipeg	CAN	MT0416	83.1	62.4	85
2006	Winnipeg	CAN	WA007998	82.8	61.4	85
2006	Winnipeg	CAN	SD3944	82.5	61.2	94
2006	Winnipeg	CAN	ND03/1-13	82.3	63.1	91
2006	Winnipeg	CAN	NE-108-46	81.8	61.5	81
2006	Winnipeg	CAN	NDSW0430	81.3	63.6	87
2006	Winnipeg	CAN	MN02255	81.1	62.2	86
2006	Winnipeg	CAN	SD3851	80.7	63.9	93
2006	Winnipeg	CAN	PT436	80.1	62.5	100
2006	Winnipeg	CAN	MN02252-A	80	62.4	88
2006	Winnipeg	CAN	ND04/3-21	79	63.9	91
2006	Winnipeg	CAN	98S0051-1-14	78.9	63.2	82
2006	Winnipeg	CAN	MT0415	78.4	62.5	89
2006	Winnipeg	CAN	Keene	78.3	62.9	106
2006	Winnipeg	CAN	MN02072-7	77.4	63.8	77
2006	Winnipeg	CAN	CA905-751	76.7	61.9	75
2006	Winnipeg	CAN	Mckenzie	76.5	61.8	101
2006	Winnipeg	CAN	CA905-752	76.4	62.2	75
2006	Winnipeg	CAN	NDSW0481	76.1	62.4	91
2006	Winnipeg	CAN	NDSW0449	75.9	62.6	89
2006	Winnipeg	CAN	ND04/3-18	75.7	63.9	88
2006	Winnipeg	CAN	Chris	74.2	62	112
2006	Winnipeg	CAN	05MSP5	73.9	64.2	84
2006	Winnipeg	CAN	MN03306-1	73.5	62.5	88
2006	Winnipeg	CAN	BW342	73.4	63.1	95
2006	Winnipeg	CAN	Marquis	73.1	62.3	112
2006	Winnipeg	CAN	99S0362-21	72.8	62.6	75
2006	Winnipeg	CAN	NE-188-24	71.6	61	79
2006	Winnipeg	CAN	98S0113-20-23	70.9	61.6	73
2006	Winnipeg	CAN	BW379	70.6	62.8	90
2006	Winnipeg	CAN	CA902-704	67.2	64	78
2006	SwiftCurrent	CAN	98S0051-1-14	57	62.2	69
2006	SwiftCurrent	CAN	MT0416	55.9	62	72
